				2-5	1										5
2-3				2-5	3	22	22							22	
2-5		2-5			2		22				22				
				2-5	1										15
2-5	2-5		2-5		3	20		20				20			
2-4	2-4				4	25	25	25	25						
2-4		2-5			3	29	29			29					
	2-5		2-5		2			25				25			
2-3					2	12	12								
2-5	2-4	2-5	2-5	2-5	6		20	20	20		24		20		20
	2-5		2-5		2				27				27		
	2-4			2-5	3			10	10						10
2-4		2-4		2-4	6	22	22			22	22			22	22
2-4	2-5		2-5		4	17	17	17				17			
	2-4		2-4		3			22	22				22		
2-3		2-3			4	27	27			27	27				
				2-3	2									5	5
	2-3		2-3	2-5	5			24	24			24	24	24	
2-4	2-4	2-4			6	3	3	3	3	3	3				
	2-3		2-3	2-3	6			27	27			27	27	27	27
2-4	2-5	2-4	2-5	2-4	8	10	10	10		10	10	10		10	10
2-5			2-5		2	23						23			
	2-4			2-5	3			27	27						27
2-5					1		10								
2-3	2-5	2-3	2-5	2-5	7	5	5	5		5	5	5		5	
		2-3			2					10	10				
2-3	2-3	2-5	2-3	2-3	9	10	10	10	10		10	10	10	10	10
2-5		2-4	2-5	2-5	5	8				8	8	8		8	
2-3		2-5		2-3	5	17	17				17			17	17
	2-3		2-3	2-5	5			20	20			20	20	20	
			2-4		1								10		
2-5	2-3	2-5	2-3	2-3	8		3	3	3		3	3	3	3	3
2-4					2	16	16								
2-5					1	25									
2-5	2-5	2-5	2-5	2-5	5	13		13		13		13		13	
				2-4	2									8	8
2-3		2-3			4	24	24			24	24				
2-4	2-4		2-4		5	8	8	8	8				8		
	2-5		2-5		2			29				29			
2-4			2-5	2-5	4	12	12					12		12	
				2-4	2									24	24
2-5	2-5		2-5		3		8		8				8		
			2-4		1								25		
2-5	2-3		2-5	2-5	5		29	29	29				29		29
2-3	2-3		2-3		6	25	25	25	25			25	25		
2-5	2-5		2-5	2-5	4	15		15				15		15	
	2-5		2-5		2			22				22			
2-5	2-3	2-3	2-3	2-3	9		12	12	12	12	12	12	12	12	12
2-4	2-4	2-5	2-5	2-4	8	15	15	15	15		15		15	15	15
		2-5	2-5		2						25		25		
2-3		2-3			4	20	20			20	20				
2-5					1		5								
	2-5		2-5		2			27				27			
2-5			2-5	2-4	4	3						3		3	3
2-5	2-3	2-3	2-3	2-5	8	1		1	1	1	1	1	1	1	
2-4		2-4			4	27	27			27	27				
2-5					1	22									
	2-3		2-3		4			22	22			22	22		
			2-4		1								1		
2-5	2-4	2-4	2-4		6	12		12	12	12	12		12		
2-3					2	1	1								
2-5	2-4	2-4	2-4		6	17		17	17	17	17		17		
2-5				2-5	2	10								10	
	2-4	2-4		2-4	6			1	1	1	1			1	1
	2-5		2-5		2			24				24			
2-5					1		13								
2-4	2-4				4	24	24	24	24						
2-3	2-3	2-3	2-3	2-3	10	13	13	13	13	13	13	13	13	13	13
	2-3	2-3	2-3	2-5	7			17	17	17	17	17	17	17	
	2-4	2-4			4			13	13	13	13				
	2-5			2-5	2				29					29	
2-4	2-4	2-4		2-4	8	5	5	5	5	5	5			5	5
	2-5		2-5	2-3	4				1				1	1	1
2-5			2-3		3	29						29	29		
2-3	2-5	2-3	2-4	2-5	7	3	3	3		3	3		3	3	
		2-5	2-5	2-5	3						12		12		12
2-3		2-3			4	29	29			29	29				
2-5	2-3	2-5	2-5		5	5		5	5		5		5		
2-4	2-5	2-5	2-5	2-5	6	1	1	1			1	1			1
2-3	2-3	2-3	2-3	2-3	10	15	15	15	15	15	15	15	15	15	15
2-4	2-5	2-5		2-5	5	13	13		13		13				13
			2-5		1							11			
2-4		2-5		2-4	5	20	20				20			20	20
2-3	2-3	2-5	2-3	2-5	8	8	8	8	8		8	8	8		8
