									6
14	14							14	
	14				14				
									18
24		24				24			
30	30	30	30						
10	10			10					
		30				30			
2	2								
	24	24	24		4		24		24
			20				20		
		12	12						12
14	14			14	14			14	14
8	8	8				8			
		14	14				14		
20	20			20	20				
								6	6
		4	4			4	4	4	
16	16	16	16	16	16				
		20	20			20	20	20	20
12	12	12		12	12	12		12	12
9						9			
		20	20						20
	12								
6	6	6		6	6	6		6	
				12	12				
12	12	12	12		12	12	12	12	12
22				22	22	22		22	
8	8				8			8	8
		24	24			24	24	24	
							12		
	16	16	16		16	16	16	16	16
13	13								
30									
28		28		28		28		28	
								22	22
4	4			4	4				
22	22	22	22				22		
		10				10			
2	2					2		2	
								4	4
	22		22				22		
							30		
	10	10	10				10		10
30	30	30	30			30	30		
18		18				18		18	
		14				14			
	2	2	2	2	2	2	2	2	2
18	18	18	18		18		18	18	18
					30		30		
24	24			24	24				
	6								
		20				20			
16						16		16	16
26		26	26	26	26	26	26	26	
20	20			20	20				
14									
		14	14			14	14		
							26		
2		2	2	2	2		2		
26	26								
8		8	8	8	8		8		
12								12	
		26	26	26	26			26	26
		4				4			
	28								
4	4	4	4						
28	28	28	28	28	28	28	28	28	28
		8	8	8	8	8	8	8	
		28	28	28	28				
			10					10	
6	6	6	6	6	6			6	6
			26				26	26	26
10						10	10		
16	16	16		16	16		16	16	
					2		2		2
10	10			10	10				
6		6	6		6		6		
26	26	26			26	26			26
18	18	18	18	18	18	18	18	18	18
28	28		28		28				28
						7			
24	24				24			24	24
22	22	22	22		22	22	22		22
